Navn,Org. nr.,Overordnet enhet,Antall ansatte,Dataset,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje,Organisasjonsform - Kode,Beliggenhetsadresse - Kommune,Parent in Telemark,Employees,Org. nr._str
Telemark camping og inn,917406928,926573454,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,55.3,Drift av campingplasser,,,,,BEDR,Fyresdal,False,0.0,917406928
Haugsjåsund camping og landhandel,975059022,970324739,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,55.3,Drift av campingplasser,,,,,BEDR,Nissedal,False,0.0,975059022
Allday group AS,827552992,822820662,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Porsgrunn,False,0.0,827552992
Isabella,897539942,998414032,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Kragerø,False,0.0,897539942
Rjukan kebab stua riaz zahid,915238270,915141129,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Tinn,False,0.0,915238270
Nora karita bakke,916833377,916813104,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Bamble,False,0.0,916833377
Zodiac langesund AS,917839913,933708357,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Bamble,False,0.0,917839913
Studentsamskipnaden i sørøst-norge mat og drikke Porsgrunn vgs,918452966,914458811,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Porsgrunn,False,0.0,918452966
Studentsamskipnaden i sørøst-norge mat og drikke Notodden,918453520,914458811,,Underenhet,,,,,Horten,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Notodden,False,0.0,918453520
Bymisjons-kafe brevik,919195169,944384448,,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Porsgrunn,False,0.0,919195169
Bustoria tomasz daniel sekiewicz,920983804,920861628,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Skien,False,0.0,920983804
Indisk gatekjøkken jyoti kumari jagga,923234365,923052402,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Tinn,False,0.0,923234365
Miljøgården AS,926593161,926562630,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Kragerø,False,0.0,926593161
Multi pizza haukeli AS,926780964,926743848,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Vinje,False,0.0,926780964
Skottfosstua pub & spiseri AS,927156415,926933213,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Skien,False,0.0,927156415
Burgerdrift lillestrøm AS,927376709,927253607,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Skien,False,0.0,927376709
J&co drift AS,931195832,930888923,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Skien,False,0.0,931195832
Monica sæther AS,932046938,932021706,,Underenhet,,,,,Notodden,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Notodden,False,0.0,932046938
Torpevannet grill,998187583,885617182,,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,56.11,Drift av restauranter,,,,,BEDR,Skien,False,0.0,998187583
Charlottes catering AS,929469550,829348802,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.21,Catering for arrangementer,,,,,BEDR,Notodden,False,0.0,929469550
Iss facility services as avd vard hovedkantine,812582542,914791723,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,812582542
Iss facility services as avd 416017 skagerak energi porsgrun,814745112,914791723,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,814745112
Coor cleaning catering and property avd kantine abb Skien syd,820981642,912523918,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,820981642
Iss facility services as avd 415110 statens hus Telemark,824396892,914791723,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,824396892
Iss facility services as avd 415133 gjensidige arka,824396922,914791723,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,824396922
Sodexo as 31700 skomværsgata 5,827350362,932144336,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,827350362
Iss facility services as avd 460271 sparebank1 sørøst-norge,830453652,914791723,,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,830453652
Iss facility services as avd 460307 sparebank1 sørøst Norge Porsgrunn,833080482,914791723,,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,833080482
Insider facility solutions as kantine hydrovegen eiendom c/o njd,835429792,834327082,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,835429792
Kanalferie AS,895467642,995458756,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Nome,False,0.0,895467642
Iss facility services as avd 416011 kjølsnes ring,918563148,914791723,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,918563148
Compass group Norge as avd 4147 pft myren 7 Skien,920807232,952507729,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,920807232
Coor cleaning catering and property avd kantine abb Skien nord,920981674,912523918,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,920981674
Iss facility services as avd 460108 statens vegvesen Skien,922056234,914791723,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,922056234
Iss facility services as avd 460128 isola AS,923243038,914791723,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,923243038
Iss facility services as avd 415121 grenland næringspark,924396954,914791723,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,924396954
Iss facility services as avd 421012 eramet Norway,924396989,914791723,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,924396989
Iss facility services as avd 415120 Porsgrunn næringspark,924396997,914791723,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,924396997
Iss facility services as avd 460145 kongensgate 20 a,924397063,914791723,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,924397063
4service facility as 4702 herøya industripark b92,924735384,990035946,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,924735384
4service facility as 8050 powerhouse kantine,925027820,990035946,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,925027820
4service facility as 4705 dokkvegen 8-10 kantine,926203762,990035946,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,926203762
Toma facility Norge as avd 225225 telemarksgaten 10,928089398,984684037,,Underenhet,,,,,Bergen,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,928089398
Iss facility services as avd 496009 himas rjukan,930037001,914791723,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Tinn,False,0.0,930037001
Toma camps as avd 108601 brevik,930547328,999514391,,Underenhet,,,,,Bergen,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,930547328
Iss facility services as avd 460287 enrx,931684248,914791723,,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,931684248
Toma camps as avd 109101 grenlandsporten,933201511,999514391,,Underenhet,,,,,Bergen,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,933201511
4service facility as 4840 grenland næringspark,933277984,990035946,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,933277984
Coor cleaning catering and property avd kantine Skien tinghus,934632001,912523918,,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,934632001
4service facility as 9630 klosterøya næringspark,936485480,990035946,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,936485480
Iss facility services as avd catering Porsgrunn,973091026,914791723,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Porsgrunn,False,0.0,973091026
Iss facility services as avd telenor catering Telemark,992398140,914791723,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Skien,False,0.0,992398140
4service facility as rafnes industriområde,998642892,990035946,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Bamble,False,0.0,998642892
4service facility as 4014 ineos rønningen kantine,998642914,990035946,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,56.22,Kantinedrift og annen cateringvirksomhet,,,,,BEDR,Bamble,False,0.0,998642914
Schibsted media as avd annonse Skien,921235518,996334767,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,58.12,Utgivelse av aviser,,,,,BEDR,Skien,False,0.0,921235518
Polaris markedstjenester as avd Skien,926201476,995801957,,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,58.12,Utgivelse av aviser,,,,,BEDR,Skien,False,0.0,926201476
Portalone as avd Notodden,832296112,921472471,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,58.21,Utgivelse av programvare for dataspill,,,,,BEDR,Notodden,False,0.0,832296112
Kalis foto v/kjetil haugsmyr fredriksen,919244127,997497759,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,59.11,"Produksjon av film, video og fjernsynsprogrammer",,,,,BEDR,Porsgrunn,False,0.0,919244127
Andreas mella,926690256,926520695,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,59.11,"Produksjon av film, video og fjernsynsprogrammer",,,,,BEDR,Skien,False,0.0,926690256
Leonardsen film,927243199,927086689,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,59.11,"Produksjon av film, video og fjernsynsprogrammer",,,,,BEDR,Skien,False,0.0,927243199
Johanna seim musikk og film,928601005,928560503,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,59.11,"Produksjon av film, video og fjernsynsprogrammer",,,,,BEDR,Midt-Telemark,False,0.0,928601005
Aff bø,914853990,971228113,,Underenhet,,,,,Bergen,Underenhet til næringsdrivende og offentlig forvaltning,60.39,Annen virksomhet for distribuering av innhold,,,,,BEDR,Midt-Telemark,False,0.0,914853990
Telia Norge as telia avd Porsgrunn,933173399,981929055,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,61.1,"Kabelbasert, satellittbasert og trådløs telekommunikasjon",,,,,BEDR,Porsgrunn,False,0.0,933173399
Lyse tele as avd Porsgrunn,933179036,912672808,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,61.1,"Kabelbasert, satellittbasert og trådløs telekommunikasjon",,,,,BEDR,Porsgrunn,False,0.0,933179036
Telenor real estate as eiendom sør,977271347,814344282,,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,61.1,"Kabelbasert, satellittbasert og trådløs telekommunikasjon",,,,,BEDR,Skien,False,0.0,977271347
Rjukan digital arena as avd rjukan,925773786,925686980,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,62.1,Dataprogrammeringstjenester,,,,,BEDR,Tinn,False,0.0,925773786
Akkodis edge Norway as avd lunde næringshage,930984736,940456584,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,62.1,Dataprogrammeringstjenester,,,,,BEDR,Nome,False,0.0,930984736
Mementoit AS,999629016,826515562,,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,62.1,Dataprogrammeringstjenester,,,,,BEDR,Bamble,False,0.0,999629016
Dignatio AS,912613631,912591646,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,62.2,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,,,,,BEDR,Skien,False,0.0,912613631
Iteam Norge as avd Skien,935916933,916573065,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,62.2,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,,,,,BEDR,Skien,False,0.0,935916933
Racom as avdeling Skien,972118346,954537900,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,62.2,Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av it-systemer,,,,,BEDR,Skien,False,0.0,972118346
Green mountain holdings as avd rjukan,835633942,933826651,,Underenhet,,,,,Stavanger,Underenhet til næringsdrivende og offentlig forvaltning,63.1,"Datainfrastruktur, -behandling, -lagring og tilknyttede tjenester",,,,,BEDR,Tinn,False,0.0,835633942
Skue sparebank avd rjukan,873145692,837889812,,Underenhet,,,,,Tinn,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Tinn,False,0.0,873145692
Skue sparebank avd bø,932134055,837889812,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Midt-Telemark,False,0.0,932134055
Sparebank 1 sør-norge asa avd lunde,971731648,937895321,,Underenhet,,,,,Sandefjord,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Nome,False,0.0,971731648
Sparebanken Norge avd Kviteseid,973061526,832554332,,Underenhet,,,,,Kviteseid,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Kviteseid,False,0.0,973061526
Skue sparebank avd rauland,973145703,837889812,,Underenhet,,,,,Tinn,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Vinje,False,0.0,973145703
Skue sparebank avd austbygd,973145711,837889812,,Underenhet,,,,,Tinn,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Tinn,False,0.0,973145711
Dnb bank asa avd Porsgrunn,973160664,984851006,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,64.19,Banker og kredittforetak,,,,,BEDR,Porsgrunn,False,0.0,973160664
Nordea finans Norge as avd Skien,913310160,924507500,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,64.92,Annen kredittgivning,,,,,BEDR,Skien,False,0.0,913310160
Storebrand livsforsikring as avd Porsgrunn,984577699,958995369,,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,65.11,Livsforsikring,,,,,BEDR,Porsgrunn,False,0.0,984577699
Gjensidige forsikring avd Kviteseid,929960750,995568217,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,65.12,Skadeforsikring,,,,,BEDR,Kviteseid,False,0.0,929960750
Søderberg & partners wealth management as Porsgrunn,929912209,990317844,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,66.12,Verdipapirmegling,,,,,BEDR,Porsgrunn,False,0.0,929912209
Formue Norge as avd Telemark,978619703,953880873,,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,66.12,Verdipapirmegling,,,,,BEDR,Skien,False,0.0,978619703
Proper10 AS,913472667,913459296,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.11,Kjøp og salg av egen fast eiendom,,,,,BEDR,Porsgrunn,False,0.0,913472667
Serine jeremiassens gate 4 AS,916224109,816215072,,Underenhet,,,,,Kristiansand,Underenhet til næringsdrivende og offentlig forvaltning,68.11,Kjøp og salg av egen fast eiendom,,,,,BEDR,Porsgrunn,False,0.0,916224109
Havneparken sandnes eiendom AS,918378782,918295321,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.11,Kjøp og salg av egen fast eiendom,,,,,BEDR,Porsgrunn,False,0.0,918378782
Vestlia invest utvikling AS,826567562,926373358,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.12,Utvikling og salg av byggeprosjekter,,,,,BEDR,Skien,False,0.0,826567562
Gromstul tomteselskap AS,923939474,922402965,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,68.12,Utvikling og salg av byggeprosjekter,,,,,BEDR,Skien,False,0.0,923939474
Bane nor Skien eiendom,927253801,917082308,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.12,Utvikling og salg av byggeprosjekter,,,,,BEDR,Skien,False,0.0,927253801
Breiens vei 27 AS,928860639,928666743,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.12,Utvikling og salg av byggeprosjekter,,,,,BEDR,Skien,False,0.0,928860639
Backe prosjekt as avd Skien,971691697,994171658,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.12,Utvikling og salg av byggeprosjekter,,,,,BEDR,Skien,False,0.0,971691697
Peab eiendomsutvikling as avd Telemark og Vestfold,987221623,987099011,,Underenhet,,,,,Skien,Underenhet til næringsdrivende og offentlig forvaltning,68.12,Utvikling og salg av byggeprosjekter,,,,,BEDR,Skien,False,0.0,987221623
To prosjekt AS,996996999,996992454,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.12,Utvikling og salg av byggeprosjekter,,,,,BEDR,Midt-Telemark,False,0.0,996996999
H c finne jr AS,812002422,911985292,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Skien,False,0.0,812002422
Fokserød holding AS,818395132,918301038,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Porsgrunn,False,0.0,818395132
Pp senteret AS,818396082,918309950,,Underenhet,,,,,Larvik,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Porsgrunn,False,0.0,818396082
Tibro AS,911812533,911725436,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Kragerø,False,0.0,911812533
Hantoveien 300 AS,912899462,912889688,,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Nome,False,0.0,912899462
Tinn utvikling AS,912969339,996535126,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Tinn,False,0.0,912969339
Bedriftsvegen 36 AS,913268970,913260295,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Skien,False,0.0,913268970
Kjørbekkdalen 19 AS,916225393,916214782,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Skien,False,0.0,916225393
Invest bolkesjø AS,918234616,923351663,,Underenhet,,,,,Drammen,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Notodden,False,0.0,918234616
Recreate asa,918389490,920169058,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Porsgrunn,False,0.0,918389490
Westbye eiendom AS,921145683,821025842,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Nissedal,False,0.0,921145683
Vi er best AS,921175434,921140746,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Skien,False,0.0,921175434
Hans kilen dødsbu,923905197,953734672,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Kviteseid,False,0.0,923905197
Slenta eiendom AS,925362069,925273325,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Tinn,False,0.0,925362069
Min nye eiendom AS,925841099,825810722,,Underenhet,,,,,Notodden,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Notodden,False,0.0,925841099
Bøgata 87 AS,926147218,925925772,,Underenhet,,,,,Tønsberg,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Midt-Telemark,False,0.0,926147218
Esin eiendom AS,928400301,994167340,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Porsgrunn,False,0.0,928400301
Alti forvaltning as alti lietorvet,929405943,919779535,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Skien,False,0.0,929405943
Rml 5 AS,931145525,930848662,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Skien,False,0.0,931145525
Lede ringdalskogen AS,934291891,934144570,,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Porsgrunn,False,0.0,934291891
Thomas grøgaard dødsbo,973273124,985841764,,Underenhet,,,,,Bærum,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Drangedal,False,0.0,973273124
Voldsfjorden AS,973936905,943538050,,Underenhet,,,,,Oslo,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Porsgrunn,False,0.0,973936905
Holte gård kathrine rasch-halvorsen,978249329,818424132,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Midt-Telemark,False,0.0,978249329
Floodmyrveien 40 AS,986989757,986981306,,Underenhet,,,,,Porsgrunn,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Porsgrunn,False,0.0,986989757
"Småroi høgfjellstove, ruud hytteutleige",991735348,991731954,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Tinn,False,0.0,991735348
Katro eiendom AS,997943422,997938038,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Bamble,False,0.0,997943422
Sagamoen eiendom AS,999466842,925028983,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.2,Utleie av egen eller leid fast eiendom,,,,,BEDR,Nome,False,0.0,999466842
Viken eiendomsmegling avd Notodden,891019092,987548177,,Underenhet,,,,,Notodden,Underenhet til næringsdrivende og offentlig forvaltning,68.31,Eiendomsmegling og andre formidlingstjenester for eiendom,,,,,BEDR,Notodden,False,0.0,891019092
Dnb eiendom as avd Notodden,912076342,910968955,,Underenhet,,,,,Notodden,Underenhet til næringsdrivende og offentlig forvaltning,68.31,Eiendomsmegling og andre formidlingstjenester for eiendom,,,,,BEDR,Notodden,False,0.0,912076342
Eiendomsmegler Norge as avd Kragerø,916365098,940434254,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.31,Eiendomsmegling og andre formidlingstjenester for eiendom,,,,,BEDR,Kragerø,False,0.0,916365098
Eiendomsmegler Norge as avd Porsgrunn,918129596,940434254,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.31,Eiendomsmegling og andre formidlingstjenester for eiendom,,,,,BEDR,Porsgrunn,False,0.0,918129596
Eiendomsmegler Norge as avd Skien,918321926,940434254,,Underenhet,,,,,,Underenhet til næringsdrivende og offentlig forvaltning,68.31,Eiendomsmegling og andre formidlingstjenester for eiendom,,,,,BEDR,Skien,False,0.0,918321926
Eiendomsmegler krogsveen as avd Bamble,987046112,950007613,,Underenhet,,,,,Bamble,Underenhet til næringsdrivende og offentlig forvaltning,68.31,Eiendomsmegling og andre formidlingstjenester for eiendom,,,,,BEDR,Bamble,False,0.0,987046112
