Navn,Org. nr.,Overordnet enhet,Antall ansatte,firfirmaid,Bedriftsstatus,Organisasjonsform,konsernopporgnr,Navn på overliggende enhet,Orgnr til toppenhet,Fylkesnavn,fylkesnavn,kommune_id,Kommunenummer,kommunenavn,Kommunenavn,Intervallkode antall ansatte,Omsetning i hele tusen,Driftsresultat i hele tusen,Dato for etablering,Sektorkode fra SSB,Privat eller offentlig,Nace_1_navn,Nace_5_navn,Nace_5_nr,Y (UTM33),X (UTM33),load_date,Lon,Lat
Lurås Møbler,978155324,969328755,0.0,14612902,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4026,4026,Tinn,TINN,0-1,0.0,0.0,1982-01-20,,,"Jordbruk, skogbruk og fiske",Sauehold,01.451,6674611.630000001,154377.1200000001,2026-08-05 03:37:01,"8,785766082524134","60,06226625395213"
Holta Halvor,978155308,969328739,,14612900,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,1982-01-20,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6598095.3100000005,174699.73000000045,2026-08-05 03:37:01,"9,26750275508259","59,3953074630818"
Tangen Halvard,978155294,969328720,0.0,14612899,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,1982-01-20,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6596998.720000001,169587.5,2026-08-05 03:37:01,"9,17963432543066","59,38153336578971"
Tom Roligheten,978155219,969328607,0.0,14612897,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,1981-12-29,,,"Jordbruk, skogbruk og fiske",Dyrking av kjernefrukter og steinfrukter,01.240,6597537.699999999,172021.09999999963,2026-08-05 03:37:01,"9,22142757703333","59,38824915066436"
Ole-Jan Ballestad,978155200,969328577,0.0,14612896,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,1981-10-11,,,"Jordbruk, skogbruk og fiske","Dyrking av grønnsaker, meloner, rot- og knollvekster",01.130,6570472.390000001,196365.46999999974,2026-08-05 03:37:01,"9,686045440525383","59,16449678426415"
Olav Jostein Miland,978155189,969328526,0.0,14612895,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4026,4026,Tinn,TINN,0-1,0.0,0.0,1981-10-11,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6659638.92,150390.51999999955,2026-08-05 03:37:01,"8,739979930032899","59,92525052709561"
Grenske Søndre Nes AS,978155162,998542561,0.0,14612894,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,1981-09-14,,,"Jordbruk, skogbruk og fiske",Dyrking av kjernefrukter og steinfrukter,01.240,6595516.4,172115.98000000045,2026-08-05 03:37:01,"9,22617001007873","59,37026363655089"
Leif Skoje,978155154,969328488,0.0,14612893,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4024,4024,Hjartdal,HJARTDAL,0-1,0.0,0.0,1981-10-11,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6624157.050000001,159545.79000000004,2026-08-05 03:37:01,"8,960530068044969","59,616081651002226"
Halvor Rulnes,978155065,986590013,0.0,14612890,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,1981-05-07,,,"Jordbruk, skogbruk og fiske",Dyrking av ettårige vekster ellers,01.190,6601122.2191,163437.05289999954,2026-08-05 03:37:01,"9,0654999996364","59,413500000934334"
Kristensen Roy,978154956,969328143,0.0,14612885,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,0.0,0.0,1981-03-13,,,"Jordbruk, skogbruk og fiske",Fiske og fangst i sjø,03.110,6545083.279999999,186848.84999999963,2026-08-05 03:37:01,"9,55647801726012","58,93062174420547"
Ingrid Ø. Landsverk,978154859,926192833,0.0,14612880,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,1981-02-17,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6613283.359999999,178304.3200000003,2026-08-05 03:37:01,"9,30781232019802","59,53379358620942"
Ole Georg Moen,978154840,969328011,0.0,14612879,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,1981-03-13,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6620704.390000001,168871.40000000037,2026-08-05 03:37:01,"9,130335921895554","59,59273813576135"
Bamle Helge,978154808,969327961,0.0,14612876,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,1981-02-17,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6622175.300000001,164434.48000000045,2026-08-05 03:37:01,"9,049846079162208","59,602338118372586"
Romtveit Sigmund,978154794,969327945,0.0,14612875,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4036,4036,Vinje,VINJE,0-1,0.0,0.0,1981-01-16,,,"Jordbruk, skogbruk og fiske",Sauehold,01.451,6642579.0,91090.74000000022,2026-08-05 03:37:01,"7,720877720353391","59,718864293934395"
Bent Gulløy,978154743,982365147,0.0,14612872,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,1981-01-16,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6575322.550000001,193939.0700000003,2026-08-05 03:37:01,"9,636985926144657","59,20612295425337"
Atle Minnesjord,978154727,989649159,0.0,14612870,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,1980-12-16,,,"Jordbruk, skogbruk og fiske",Svinehold,01.460,6570148.880000001,195865.5700000003,2026-08-05 03:37:01,"9,67779088649723","59,161246772459855"
Li Mari H,978154654,969327686,0.0,14612869,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,1981-01-16,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6604457.08,161254.36000000034,2026-08-05 03:37:01,"9,021987156127805","59,44153427252507"
Carl N Namløs,978154611,969327600,0.0,14612867,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,0.0,0.0,1980-10-21,,,"Jordbruk, skogbruk og fiske",Melkeproduksjon på storfe og oppdrett av melkekyr,01.410,6583697.15,176798.3099999996,2026-08-05 03:37:01,"9,325833161733936","59,26826056564508"
Anja Kristin Salte Hjelseth,978154603,916485808,0.0,14612866,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,0.0,0.0,1980-10-21,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6585762.6107,173388.36510000005,2026-08-05 03:37:01,"9,263200000874573","59,284100001198695"
Hegna Odd Gudmund,978154573,969327538,0.0,14612864,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,0.0,0.0,1980-06-19,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6594321.51,163179.98000000045,2026-08-05 03:37:01,"9,071644819961108","59,35255066819043"
Harald Ottar Skjelbred,978154530,969327473,0.0,14612863,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,1980-10-21,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6572940.619999999,186668.63999999966,2026-08-05 03:37:01,"9,51368200378636","59,179526679397135"
Arne Øygarden,978154514,969327457,0.0,14612862,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,1980-07-24,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6609031.98,179465.74000000022,2026-08-05 03:37:01,"9,334640382428262","59,49669328669589"
Per Fredrik Meen,978123147,989299638,0.0,14611272,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,1982-03-16,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6571685.42,194878.38999999966,2026-08-05 03:37:01,"9,658454523479422","59,17427842433932"
Jostein Sørgaarden,978123139,926342711,0.0,14611271,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,1982-03-16,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6608968.380000001,178747.99000000022,2026-08-05 03:37:01,"9,322122303973376","59,495576143058614"
Erik Grønskei,978123120,913939751,0.0,14611270,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4026,4026,Tinn,TINN,0-1,0.0,0.0,1982-03-16,,,"Jordbruk, skogbruk og fiske",Dyrking av annen frukt som vokser på trær eller busker samt nøtter,01.250,6659908.1899999995,152216.08000000007,2026-08-05 03:37:01,"8,77199024724128","59,929196943026554"
Signe Tveitan,978123090,979996446,0.0,14611269,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,1982-03-29,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6621151.109999999,170088.25999999978,2026-08-05 03:37:01,"9,151080104710642","59,59769073157701"
Kevin Slettemeås,978123082,988580414,0.0,14611268,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4028,4028,Kviteseid,KVITESEID,0-1,0.0,0.0,1982-03-29,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6612767.58,130088.99000000022,2026-08-05 03:37:01,"8,461599896682879","59,48944058828318"
Torgunn Lonar Barth,978123031,969279967,0.0,14611267,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4024,4024,Hjartdal,HJARTDAL,0-1,0.0,0.0,1982-05-26,,,"Jordbruk, skogbruk og fiske",Sauehold,01.451,6624675.15,145236.98000000045,2026-08-05 03:37:01,"8,707573882118092","59,60880209439359"
Håberg Øyvind,978122957,969279819,0.0,14611264,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,1982-09-17,,,"Jordbruk, skogbruk og fiske",Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,01.420,6621782.25,169714.13999999966,2026-08-05 03:37:01,"9,143503725211932","59,60303321595815"
Torbjørn Lahus,978122930,969279797,0.0,14611263,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,1982-09-17,,,"Jordbruk, skogbruk og fiske",Kombinert husdyrhold og planteproduksjon,01.500,6598502.029999999,162827.0700000003,2026-08-05 03:37:01,"9,058924033343342","59,38960901506723"
Arne Vistad Vågslid,978122906,988344125,1.0,14611261,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4034,4034,Tokke,TOKKE,0-1,0.0,0.0,1982-07-01,,,Bygge- og anleggsvirksomhet,Grunnarbeid,43.120,6610885.58,101690.37000000011,2026-08-05 03:37:01,"7,967373626567197","59,44670484460232"
Dag Jøran Myrvang,978122892,990113661,0.0,14611260,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4010,4010,Siljan,SILJAN,0-1,0.0,0.0,1982-07-20,,,"Jordbruk, skogbruk og fiske",Planteformering,01.300,6583154.8100000005,199795.83000000007,2026-08-05 03:37:01,"9,728276240452026","59,28034483361765"
Strand Per Oskar og Ingebjørg,978122884,969279711,0.0,14611259,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,1982-08-04,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6601921.43,161929.83999999985,2026-08-05 03:37:01,"9,037831240674292","59,419430787997236"
Erik Juel Ballestad,978122841,969279657,0.0,14611257,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,1983-01-03,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6571984.289999999,194406.78000000026,2026-08-05 03:37:01,"9,649821364033516","59,176611868224896"
Tor Baksås,978122787,969279592,0.0,14611255,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,0.0,0.0,1982-12-07,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6581673.07,180007.5,2026-08-05 03:37:01,"9,3848451256867","59,25260831005084"
Sveinung Rekaa,978122752,969279533,0.0,14611254,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,1983-01-03,,,"Telekommunikasjon, dataprogrammering, konsulentvirksomhet, datainfrastruktur og andre tjenester tilk",Konsulentvirksomhet tilknyttet informasjonsteknologi og forvaltning og drift av IT-systemer,62.200,6622400.550000001,168705.41999999993,2026-08-05 03:37:01,"9,12475938491431","59,60775783656206"
Erling Skoe,978122736,969279509,0.0,14611252,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,0.0,0.0,1983-01-20,,,"Jordbruk, skogbruk og fiske",Planteformering,01.300,6587636.07,163845.8700000001,2026-08-05 03:37:01,"9,093697875843237","59,293364354068984"
Nærum Nina Kristin,978122698,969279452,0.0,14611251,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,1983-01-20,,,"Jordbruk, skogbruk og fiske",Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,01.420,6574912.4,194897.2000000002,2026-08-05 03:37:01,"9,65426496929853","59,203145448856425"
Moe Tor Vegard Jacob,978122663,969279371,0.0,14611250,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,0.0,0.0,1983-02-25,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6552448.529999999,178512.75999999978,2026-08-05 03:37:01,"9,401665244214362","58,9902886006504"
Knut Øystein Nymoen,978122612,985279810,0.0,14611247,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4026,4026,Tinn,TINN,0-1,0.0,0.0,1983-02-25,,,"Jordbruk, skogbruk og fiske",Sauehold,01.451,6675042.210000001,150919.78000000026,2026-08-05 03:37:01,"8,723303797929155","60,063182932445"
Kim Robert Kåsa,978122531,925186120,0.0,14611244,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4024,4024,Hjartdal,HJARTDAL,0-1,0.0,0.0,1983-04-28,,,"Jordbruk, skogbruk og fiske",Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,01.420,6624365.23,142217.73000000045,2026-08-05 03:37:01,"8,654924831790344","59,603462107798435"
Inger Mai Frøland,978122477,986543376,0.0,14611241,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,1983-12-15,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6600261.16,174904.70999999996,2026-08-05 03:37:01,"9,267815239482976","59,414817930662764"
Kristoffersen Rune,978122442,969279045,0.0,14611240,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,0.0,0.0,1983-09-19,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6584102.32,174817.13999999966,2026-08-05 03:37:01,"9,290643123656677","59,270364428345125"
Enid Jøntvedt,978122345,984799209,0.0,14611238,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,0.0,0.0,1984-01-12,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6582734.17,177286.3799999999,2026-08-05 03:37:01,"9,335786337883217","59,2600272109019"
Jørn Tjøstolv Gjersund,978122302,996393364,1.0,14611236,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4034,4034,Tokke,TOKKE,0-1,0.0,0.0,1984-01-18,,,"Jordbruk, skogbruk og fiske",Sauehold,01.451,6612626.59,105437.41999999993,2026-08-05 03:37:01,"8,029753146102372","59,465754947868724"
Vestre Graver Gård Hans Arne Flåto,978122167,933933687,0.0,14611233,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4026,4026,Tinn,TINN,0-1,0.0,0.0,1984-02-06,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6649251.91,163942.41999999993,2026-08-05 03:37:01,"8,997858723425148","59,843757199172124"
Lie Dag Birger,978122140,969278642,0.0,14611231,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4032,4032,Fyresdal,FYRESDAL,0-1,0.0,0.0,1984-02-06,,,"Jordbruk, skogbruk og fiske","Dyrking av grønnsaker, meloner, rot- og knollvekster",01.130,6579733.300000001,102488.71999999974,2026-08-05 03:37:01,"8,038604636120136","59,16978600233275"
Geir Håvard Østtveit,978122094,988490903,0.0,14611230,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,1984-02-06,,,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6598942.630000001,168610.3099999996,2026-08-05 03:37:01,"9,159527716218408","59,398132320380086"
Trygsland Jan,978122043,969278510,0.0,14611228,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4001,4001,Porsgrunn,PORSGRUNN,0-1,0.0,0.0,1984-01-18,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6560841.380000001,194778.9500000002,2026-08-05 03:37:01,"9,671842426757067","59,077244615380316"
Kiland Bygg,978121985,894116722,,14611227,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4032,4032,Fyresdal,FYRESDAL,0-1,0.0,0.0,1983-04-28,,,Bygge- og anleggsvirksomhet,Snekkerarbeid,43.320,6559530.210000001,115068.83000000007,2026-08-05 03:37:01,"8,292545943352414","59,001175518677755"
Fossheim Gård,978121977,990030618,0.0,14611226,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,1983-04-28,,,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6602474.050000001,162223.16999999993,2026-08-05 03:37:01,"9,042101755972393","59,42460198948975"
Tor Jørgen Røra Ødegaard,978121942,912575853,0.0,14611224,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,1982-10-19,,,"Jordbruk, skogbruk og fiske",Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,01.420,6567537.8100000005,187792.3700000001,2026-08-05 03:37:01,"9,540975759915288","59,13205471583898"
Neri Kringlebu,978121926,969278316,0.0,14611222,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4036,4036,Vinje,VINJE,0-1,0.0,0.0,1982-11-04,,,"Jordbruk, skogbruk og fiske",Dyrking av ettårige vekster ellers,01.190,6637251.529999999,95502.61000000034,2026-08-05 03:37:01,"7,808927426150809","59,675714134403485"
"Nordhov, Agroservice",978103138,969250179,0.0,14610270,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,1986-01-31,,,"Jordbruk, skogbruk og fiske",Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,01.420,6581515.789999999,190275.3200000003,2026-08-05 03:37:01,"9,564292286896524","59,25883315738944"
Øyvind Sveinsson,978103111,969250152,0.0,14610269,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,1986-03-06,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6631459.32,165231.03000000026,2026-08-05 03:37:01,"9,049167406928735","59,685896781315414"
Verpe Kjell Aage,978103073,969250101,0.0,14610266,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4020,4020,Midt-Telemark,MIDT-TELEMARK,0-1,0.0,0.0,1986-01-31,,,Eiendomsvirksomhet,Utleie av egen eller leid fast eiendom,68.200,6601002.1899999995,161921.0700000003,2026-08-05 03:37:01,"9,039125628660534","59,41121357205892"
Erlend Fundli,978103057,918165711,0.0,14610264,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4036,4036,Vinje,VINJE,0-1,0.0,0.0,1986-03-06,,,"Jordbruk, skogbruk og fiske",Sauehold,01.451,6636030.529999999,115679.51999999955,2026-08-05 03:37:01,"8,166813274381866","59,6839253150541"
Jamtveit Hallgeir,978103049,969250055,0.0,14610263,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,1985-12-06,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6622688.82,167899.04000000004,2026-08-05 03:37:01,"9,110094427205066","59,60969263857897"
Knut Dale Nevestveit,978103030,836975782,0.0,14610262,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4036,4036,Vinje,VINJE,0-1,0.0,0.0,1985-12-18,,,"Jordbruk, skogbruk og fiske",Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,01.420,6625037.27,104007.11000000034,2026-08-05 03:37:01,"7,9816454007546715","59,57502427350951"
Bjerva Nils Olav,978103006,969250004,0.0,14610261,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,0.0,0.0,1986-01-16,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6581195.5600000005,179139.0,2026-08-05 03:37:01,"9,370395859204184","59,24768407637383"
Marius Øverland,978102956,916478666,0.0,14610259,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,1985-11-04,,,"Jordbruk, skogbruk og fiske",Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,01.420,6569345.279999999,188126.2999999998,2026-08-05 03:37:01,"9,544206380796972","59,14845782896316"
Thomsen Thor-Olaf,978102948,969249928,0.0,14610258,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4012,4012,Bamble,BAMBLE,0-1,0.0,0.0,1985-11-04,,,"Jordbruk, skogbruk og fiske",Fiske og fangst i sjø,03.110,6553853.390000001,198416.24000000022,2026-08-05 03:37:01,"9,744602289519602","59,0173396040918"
Tove Vehus Noraberg,978102905,969249790,0.0,14610256,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4030,4030,Nissedal,NISSEDAL,0-1,0.0,0.0,1985-09-30,,,"Jordbruk, skogbruk og fiske",Sauehold,01.451,6581705.369999999,130093.63999999966,2026-08-05 03:37:01,"8,514973649770408","59,21230145653203"
Hørtha Helge,978102875,969249766,0.0,14610254,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,1985-10-08,,,"Jordbruk, skogbruk og fiske",Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,01.420,6574708.76,196752.49000000022,2026-08-05 03:37:01,"9,686892962893417","59,202653898478786"
Engebretsen Vidar,978102786,969249650,0.0,14610251,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4022,4022,Seljord,SELJORD,0-1,0.0,0.0,1985-01-16,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6612896.09,139218.5700000003,2026-08-05 03:37:01,"8,621578758332799","59,49853244697682"
Stein Helge Lassemo,978102646,991509208,1.0,14610248,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4032,4032,Fyresdal,FYRESDAL,0-1,0.0,0.0,1984-05-02,,,"Jordbruk, skogbruk og fiske",Avvirkning,02.200,6567973.35,97891.79999999981,2026-08-05 03:37:01,"7,980371687196921","59,06064951113235"
Morten Langeland,978102638,984750919,0.0,14610247,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4018,4018,Nome,NOME,0-1,0.0,0.0,1984-05-22,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6580844.92,179737.6799999997,2026-08-05 03:37:01,"9,38135856018502","59,24500318468264"
Myhra Gunulf J,978102611,969249413,0.0,14610246,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4003,4003,Skien,SKIEN,0-1,0.0,0.0,1984-10-22,,,"Jordbruk, skogbruk og fiske","Dyrking av korn, unntatt ris, belgvekster og oljeholdige vekster",01.110,6573333.0,195802.0599999996,2026-08-05 03:37:01,"9,672245107500414","59,18967253081059"
Arne Lid,978102514,992371773,0.0,14610240,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4024,4024,Hjartdal,HJARTDAL,0-1,0.0,0.0,1984-04-13,,,"Jordbruk, skogbruk og fiske",Oppdrett av annet storfe til kjøttproduksjon og sædproduksjon,01.420,6625090.59,141297.63999999966,2026-08-05 03:37:01,"8,637495807936357","59,60914697057448"
Ragnhild Sem,978102441,969249081,0.0,14610239,9,Underenhet til næringsdrivende og offentlig forvaltning,,,,Telemark,Telemark,4005,4005,Notodden,NOTODDEN,0-1,0.0,0.0,1984-03-27,,,"Jordbruk, skogbruk og fiske",Sauehold,01.451,6618036.3100000005,173471.74000000022,2026-08-05 03:37:01,"9,21550347479674","59,57251989050799"
