Navn,Org. nr.,Overordnet enhet,Antall ansatte,Sektorkode,Sektor,Aktivitet,Forretningsadresse - Kommune,Postadresse - Kommune,Organisasjonsform,NACE 1,NACE 1 - Bransje,NACE 2,NACE 2 - Bransje,NACE 3,NACE 3 - Bransje
Ulefos brug AS,938317828,,30,2100,Private aksjeselskaper mv.,,Nome,Nome,Aksjeselskap,25.120,Produksjon av dører og vinduer av metall,,,,
Holte industri AS,981942019,,30,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,27.400,Produksjon av belysningsutstyr,,,,
Kamek AS,986773053,,30,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Aksjeselskap,28.290,"Produksjon av maskiner og utstyr til generell bruk, ikke nevnt annet sted",,,,
Ganitt entreprenør AS,958672411,,30,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Strøm sivertsen AS,979196326,,30,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Handelskompaniet AS,950801204,,30,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,46.421,Engroshandel med klær,,,,
Vinje bilberging AS,992331887,,30,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,52.219,Tjenester tilknyttet landtransport ellers,,,,
Pizza kompaniet AS,919767324,,30,2100,Private aksjeselskaper mv.,,Porsgrunn,Bamble,Aksjeselskap,56.102,Drift av gatekjøkken,,,,
Børve borchsenius arkitekter AS,910980246,,30,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,71.112,Arkitekttjenester vedrørende byggverk,,,,
Minox technology AS,974421747,,30,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,71.129,Annen teknisk konsulentvirksomhet,,,,
Rtc renewables AS,932496135,,30,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,78.200,Utleie av arbeidskraft,,,,
Sentrum vaskeri & renhold AS,989208004,,30,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,81.210,Rengjøring av bygninger,,,,
Siljan kommune avd for samfunn,974640740,864953042,30,6500,Kommuneforvaltningen,,Siljan,Siljan,Organisasjonsledd,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Svømmeklubben poseidon Porsgrunn,979940297,,30,7000,Ideelle organisasjoner,,Porsgrunn,Porsgrunn,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Master minds of training AS,911914115,,30,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,93.130,Treningssentre,,,,
Protektiv AS,962301991,,29,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,13.300,Etterbehandling av tekstiler,,,,
Rjukan vvs & elektro AS,982142601,,29,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Porsgrunds porselænsfabrik AS,915232523,,29,2100,Private aksjeselskaper mv.,,Porsgrunn,Asker,Aksjeselskap,46.441,"Engroshandel med kjøkkenutstyr, glass og steintøy",,,,
Kaasa transport AS,960397339,,29,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,49.410,Godstransport på vei,,,,
Nutheim gjestgiveri AS,913267125,,29,2100,Private aksjeselskaper mv.,,Seljord,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Brubakken rental AS,925231460,,29,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,77.390,Utleie og leasing av andre maskiner og annet utstyr og materiell ikke nevnt annet sted,,,,
Top crew AS,824868522,,29,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,78.200,Utleie av arbeidskraft,,,,
Yli barnehage AS,931045520,,29,2100,Private aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,88.911,Barnehager,,,,
Kvito utvikling og arbeid AS,928155277,,29,1520,Kommunalt eide aksjeselskaper mv.,,Vinje,,Aksjeselskap,88.994,Varig tilrettelagt arbeid,,,,
Tinn kommune rjukanbadet kf,984592655,864963552,29,6500,Kommuneforvaltningen,,Tinn,,Kommunalt foretak,93.110,Drift av idrettsanlegg,,,,
If storm,983824900,,29,7000,Ideelle organisasjoner,,Skien,Skien,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Niras AS,836938062,,28,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,24.200,Produksjon av andre rør og rørdeler av stål,,,,
Grenland bygg AS,925367710,,28,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Felle maskin AS,926876236,,28,2100,Private aksjeselskaper mv.,,Nissedal,Fyresdal,Aksjeselskap,43.120,Grunnarbeid,,,,
Borgar kittilsen verksted AS,987009640,,28,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,,,
Telefrukt AS,970983503,,28,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,46.310,Engroshandel med frukt og grønnsaker,,,,
Mathuset myren AS,992028955,,28,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Mathuset skjelsvik AS,998629578,,28,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Gisholt & finne AS,984357680,,28,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.521,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer",,,,
Dose AS,990223246,,28,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,56.301,Drift av puber,,,,
Sum-it AS,997039262,,28,4900,Øvrige finansielle foretak unntatt forsikring,,Kragerø,Kragerø,Aksjeselskap,66.220,Forsikringsformidling,,,,
Keops utvikling Porsgrunn kf,927998343,939991034,28,6500,Kommuneforvaltningen,,Porsgrunn,Porsgrunn,Kommunalt foretak,84.130,Offentlig administrasjon tilknyttet næringsvirksomhet og arbeidsmarked,,,,
Telemark og Vestfold regionteater AS,930096741,,28,6500,Kommuneforvaltningen,,Skien,Skien,Aksjeselskap,90.012,Utøvende kunstnere og underholdningsvirksomhet innen scenekunst,,,,
Skårberg maskin AS,887932042,,27,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,43.120,Grunnarbeid,,,,
Motor forum AS,957290795,,27,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,
Hanes mat AS,932361213,,27,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Mathuset skippergata AS,816844592,,27,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Rugtvedt dagligvare AS,993879762,,27,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Lb tur AS,984157525,,27,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,49.392,Turbiltransport,,,,
Spedify AS,926818317,,27,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,52.100,Lagring,,,,
Tuddal høyfjellshotel AS,970951113,,27,2100,Private aksjeselskaper mv.,,Hjartdal,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Telemark bygg utleie AS,981640608,,27,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,77.320,Utleie og leasing av bygge- og anleggsmaskiner og -utstyr,,,,
Kongsbergregionen ikt-drift,915958109,938583986,27,6500,Kommuneforvaltningen,,Notodden,,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Stiftelsen Skien diakonale senter,983933475,,27,7000,Ideelle organisasjoner,,Skien,,Stiftelse,87.909,Omsorgsinstitusjoner ellers,,,,
Skrapeklev barnehage sa,954628132,,27,2100,Private aksjeselskaper mv.,,Porsgrunn,,Samvirkeforetak,88.911,Barnehager,,,,
Spire & gro rypevegen barnehage AS,924205520,,27,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,88.911,Barnehager,,,,
Sætrebo barnehage AS,931045512,,27,2100,Private aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,88.911,Barnehager,,,,
Tirilltoppen barnehage Bamble sa,959144435,,27,2100,Private aksjeselskaper mv.,,Bamble,,Samvirkeforetak,88.911,Barnehager,,,,
Idea kompetanse jobb og utvikling AS,925994995,,27,1520,Kommunalt eide aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,88.993,Arbeidstrening for ordinært arbeidsmarked,85.599,Annen undervisning ikke nevnt annet sted,,
Kragerø frivillig sentral,971324937,,27,7000,Ideelle organisasjoner,,Kragerø,,Forening/lag/innretning,88.999,Andre sosialtjenester uten botilbud,,,,
Novita omsorg AS,932138549,,27,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,88.999,Andre sosialtjenester uten botilbud,,,,
Telemarkhus AS,861180042,,26,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Mhm entreprenør & service AS,919642564,,26,2100,Private aksjeselskaper mv.,,Fyresdal,,Aksjeselskap,43.120,Grunnarbeid,,,,
Dyrud elektro AS,981072316,,26,2100,Private aksjeselskaper mv.,,Seljord,Seljord,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Rauland elektriske AS,997985451,,26,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Vb rørleggeren AS,935195152,,26,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Sivert montasje AS,930047066,,26,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.990,Annen spesialisert bygge- og anleggsvirksomhet,,,,
Flom AS,976218582,,26,2100,Private aksjeselskaper mv.,,Drangedal,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Skagerak sea service AS,971118679,,26,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,50.203,Slepebåter,,,,
Northsea terminal AS,984642474,,26,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,52.211,Drift av gods- og transportsentraler,,,,
Grenland bilberging AS,916844026,,26,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,52.219,Tjenester tilknyttet landtransport ellers,,,,
Øya spiseri AS,914405173,,26,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Fenomen drift AS,928633713,,26,2100,Private aksjeselskaper mv.,,Porsgrunn,Oslo,Aksjeselskap,59.110,"Produksjon av film, video og fjernsynsprogrammer",,,,
Fjuz kommunikasjon AS,914087635,,26,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,73.110,Reklamebyråer,,,,
Grenland crossfit AS,912344657,,26,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,86.902,Fysioterapitjeneste,,,,
Spire & gro liane barnehage AS,926178164,,26,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,88.911,Barnehager,,,,
Tippen barnehage sa,948122650,,26,2100,Private aksjeselskaper mv.,,Porsgrunn,,Samvirkeforetak,88.911,Barnehager,,,,
Pors fotball,988010626,,26,7000,Ideelle organisasjoner,,Porsgrunn,,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Stathelle og omegn idrettslag,971324473,,26,7000,Ideelle organisasjoner,,Bamble,Bamble,Forening/lag/innretning,93.120,Idrettslag og -klubber,93.190,Andre sportsaktiviteter,,
Herøya nett AS,998509289,,25,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,35.130,Distribusjon av elektrisitet,,,,
Tvb bolig AS,987259787,,25,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Haugo entreprenør AS,918099425,,25,2100,Private aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,43.120,Grunnarbeid,,,,
Chg-meridian Skien AS,985505829,,25,2100,Private aksjeselskaper mv.,,Skien,Oslo,Aksjeselskap,46.510,"Engroshandel med datamaskiner, tilleggsutstyr til datamaskiner samt programvare",,,,
Cathwell AS,985532508,,25,2100,Private aksjeselskaper mv.,,Bamble,Bamble,Aksjeselskap,46.900,Uspesifisert engroshandel,,,,
Jakob tveit AS,916936869,,25,2100,Private aksjeselskaper mv.,,Nissedal,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Morgedal hotel AS,926390945,,25,2100,Private aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Dp falkum AS,929221818,,25,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Gjengangeren restaurantdrift marian gravli ruud,988305294,,25,8200,Personlig næringsdrivende,,Skien,Skien,Enkeltpersonforetak,56.101,Drift av restauranter og kafeer,,,,
Hafsund feriehytter AS,913212266,,25,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,56.101,Drift av restauranter og kafeer,55.202,Drift av ferieleiligheter,55.300,Drift av campingplasser
Hava Skien AS,912855295,,25,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Lundetangen pub drift AS,913953959,,25,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.301,Drift av puber,,,,
Liberty now AS,822236162,,25,2100,Private aksjeselskaper mv.,,Seljord,Midt-Telemark,Aksjeselskap,62.010,Programmeringstjenester,,,,
Vest-telemark brann og redning iks,994517139,,25,6500,Kommuneforvaltningen,,Tokke,,Interkommunalt selskap,84.250,Brannvern,,,,
Gjerpenshavna barnehage sa,982935962,,25,2100,Private aksjeselskaper mv.,,Skien,,Samvirkeforetak,88.911,Barnehager,,,,
Spire & gro skogtoppen barnehage AS,926178466,,25,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,88.911,Barnehager,,,,
Gjerpen håndball,961628083,,25,7000,Ideelle organisasjoner,,Skien,Skien,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
La femme AS,988421804,,25,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,96.020,Frisering og annen skjønnhetspleie,,,,
Hellestad sandtak AS,986855718,,24,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,23.630,Produksjon av ferdigblandet betong,,,,
Wector yachting AS,983059090,,24,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,33.150,Reparasjon og vedlikehold av skip og båter,,,,
Kragerø elektriske AS,966284420,,24,2100,Private aksjeselskaper mv.,,Kragerø,Kragerø,Aksjeselskap,43.210,Elektrisk installasjonsarbeid,,,,
Helders malerforretning AS,913883330,,24,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,43.341,Malerarbeid,,,,
Malermester evensen AS,966908165,,24,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,43.341,Malerarbeid,,,,
Gumpens auto Notodden AS,976910915,,24,2100,Private aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,
Elteco AS,988638897,,24,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,46.520,Engroshandel med elektronikkutstyr og telekommunikasjonsutstyr samt deler,,,,
G-mat rjukan AS,979845995,,24,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
K skogen AS,916982550,,24,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Fristadsenteret AS,997136012,,24,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,47.190,Butikkhandel med bredt vareutvalg ellers,,,,
Ekeberg auto AS,923789464,,24,2100,Private aksjeselskaper mv.,,Siljan,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",,
Thomas haukedal AS,933664856,,24,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Øygarden eidanger truls øygarden,911589354,,24,8200,Personlig næringsdrivende,,Porsgrunn,,Enkeltpersonforetak,47.300,Detaljhandel med drivstoff til motorvogner,,,,
Provendo AS,899115562,,24,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,62.020,Konsulentvirksomhet tilknyttet informasjonsteknologi,,,,
Empet Porsgrunn dyreklinikk AS,992231998,,24,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,75.000,Veterinærtjenester,,,,
Industri fokus AS,933392414,,24,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,78.100,Rekruttering og formidling av arbeidskraft,,,,
Telemark park & hageanlegg AS,993213896,,24,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,81.300,Beplantning av hager og parkanlegg,,,,
Seljord kommune sentraladministrasjon,874643912,964963738,24,6500,Kommuneforvaltningen,,Seljord,,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Hjuksebø montessoriskole sa,911759500,,24,2100,Private aksjeselskaper mv.,,Notodden,,Samvirkeforetak,85.201,Ordinær grunnskoleundervisning,,,,
Grenland livredning og svømmeklubb,987807342,,24,7000,Ideelle organisasjoner,,Porsgrunn,Seljord,Forening/lag/innretning,85.599,Annen undervisning ikke nevnt annet sted,,,,
Brekke barnehage sa,970929231,,24,2100,Private aksjeselskaper mv.,,Skien,,Samvirkeforetak,88.911,Barnehager,,,,
Idea barnehage Notodden AS,930713619,,24,1520,Kommunalt eide aksjeselskaper mv.,,Notodden,,Aksjeselskap,88.911,Barnehager,88.993,Arbeidstrening for ordinært arbeidsmarked,,
Skogmusa barnehage sa,971497653,,24,2100,Private aksjeselskaper mv.,,Skien,,Samvirkeforetak,88.911,Barnehager,,,,
Industri kollektivet AS,997119487,,23,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,25.620,Bearbeiding av metaller,,,,
Kai tveit AS,920032702,,23,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,25.620,Bearbeiding av metaller,,,,
Jemo entreprenør AS,920246354,,23,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Johnny jensen AS,941441769,,23,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Pors entreprenør AS,926087800,,23,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,41.200,Oppføring av bygninger,,,,
Teleklima AS,990330255,,23,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Egell-johnsen mat AS,916315074,,23,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Bygg tre AS,979517408,,23,2100,Private aksjeselskaper mv.,,Nissedal,,Aksjeselskap,47.521,"Butikkhandel med bredt utvalg av jernvarer, fargevarer og andre byggevarer",,,,
Telemark taxi AS,986940006,,23,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,52.214,Drift av taxisentraler og annen formidling av persontransport,,,,
Lifjellstua AS,985185468,,23,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Aksjeselskap,55.101,"Drift av hoteller, pensjonater og moteller med restaurant",,,,
Dattebayo Skien AS,919915722,,23,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Jacob & gabriel AS,919643870,,23,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Merci AS,834141612,,23,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Norbekk AS,912090396,,23,2100,Private aksjeselskaper mv.,,Porsgrunn,Trondheim,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Konosør AS,930181366,,23,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,56.290,Kantiner drevet som selvstendig virksomhet,,,,
One accounting AS,820585402,,23,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,69.201,Regnskap og bokføring,,,,
Telemark toppidrett ungdomsskole Porsgrunn AS,922079129,,23,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,85.201,Ordinær grunnskoleundervisning,,,,
Einaren barnehage sa,951933813,,23,2100,Private aksjeselskaper mv.,,Skien,,Samvirkeforetak,88.911,Barnehager,,,,
Vrådal panorama AS,958709579,,23,2100,Private aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,93.110,Drift av idrettsanlegg,,,,
Framtre AS,925066583,,22,2100,Private aksjeselskaper mv.,,Porsgrunn,Porsgrunn,Aksjeselskap,02.200,Avvirkning,,,,
Grenland bakeri & conditori AS,985459576,,22,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,10.710,Produksjon av brød og ferske konditorvarer,,,,
Oldroyd AS,870890192,,22,2100,Private aksjeselskaper mv.,,Bamble,,Aksjeselskap,22.230,Produksjon av byggevarer av plast,,,,
Rustfri spesial produksjon AS,994455729,,22,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,24.200,Produksjon av andre rør og rørdeler av stål,,,,
Sperre AS,947063405,,22,2100,Private aksjeselskaper mv.,,Notodden,,Aksjeselskap,30.112,Bygging av skip under 100 br.tonn,,,,
Everket AS,966731508,,22,1520,Kommunalt eide aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,35.130,Distribusjon av elektrisitet,,,,
Føre AS,925549738,,22,1520,Kommunalt eide aksjeselskaper mv.,,Nome,,Aksjeselskap,35.130,Distribusjon av elektrisitet,,,,
Vestmar nett AS,979399901,,22,1520,Kommunalt eide aksjeselskaper mv.,,Kragerø,,Aksjeselskap,35.130,Distribusjon av elektrisitet,,,,
Notodden energi AS,999263798,,22,1520,Kommunalt eide aksjeselskaper mv.,,Notodden,Notodden,Aksjeselskap,35.140,Handel med elektrisitet,,,,
Kjell asbjørn solberg AS,981259572,,22,2100,Private aksjeselskaper mv.,,Nissedal,,Aksjeselskap,37.000,Oppsamling og behandling av avløpsvann,,,,
Porsgrunn rørleggerforretning AS,924001216,,22,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,43.221,Rørleggerarbeid,,,,
Zuraris e malerservice AS,981501225,,22,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,43.341,Malerarbeid,,,,
Pahlen international AS,927725223,,22,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,46.740,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",,,,
Borgersen dagligvare AS,918540385,,22,2100,Private aksjeselskaper mv.,,Siljan,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Diplomaten AS,986281622,,22,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Jappen mat AS,915242790,,22,2100,Private aksjeselskaper mv.,,Skien,Skien,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Rauland varesenter AS,990146969,,22,2100,Private aksjeselskaper mv.,,Vinje,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Slåen AS,930711616,,22,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Telemark dagligvare edland AS,914633117,,22,2100,Private aksjeselskaper mv.,,Midt-Telemark,Midt-Telemark,Aksjeselskap,47.111,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,,,
Påtur AS,926624210,,22,2100,Private aksjeselskaper mv.,,Skien,Moss,Aksjeselskap,47.750,Butikkhandel med kosmetikk og toalettartikler,,,,
E aarhus AS,926979140,,22,2100,Private aksjeselskaper mv.,,Nome,Nome,Aksjeselskap,49.410,Godstransport på vei,,,,
Kviteseid transportservice AS,980786242,,22,2100,Private aksjeselskaper mv.,,Kviteseid,,Aksjeselskap,49.410,Godstransport på vei,,,,
Rjukan hytteby AS,940109981,,22,2100,Private aksjeselskaper mv.,,Tinn,,Aksjeselskap,55.202,Drift av ferieleiligheter,,,,
Lovisenberg campingdrift AS,990047731,,22,2100,Private aksjeselskaper mv.,,Kragerø,Kristiansand,Aksjeselskap,55.300,Drift av campingplasser,,,,
Byens hjerte AS,929417747,,22,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,56.101,Drift av restauranter og kafeer,,,,
Dattebayo Porsgrunn AS,922825610,,22,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,56.102,Drift av gatekjøkken,,,,
Hallbjønn høyfjellssenter AS,999277195,,22,2100,Private aksjeselskaper mv.,,Tokke,Bamble,Aksjeselskap,68.209,Utleie av egen eller leid fast eiendom ellers,,,,
Boligbyggelagenes boservice AS,983549233,,22,2100,Private aksjeselskaper mv.,,Skien,,Aksjeselskap,81.101,Vaktmestertjenester,,,,
Lotus total AS,926033794,,22,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,81.210,Rengjøring av bygninger,,,,
Nissedal kommune fellestenester,974643936,964964343,22,6500,Kommuneforvaltningen,,Nissedal,,Organisasjonsledd,84.110,Generell offentlig administrasjon,,,,
Stiftelsen sagavoll folkehøgskole,971547103,,22,2100,Private aksjeselskaper mv.,,Midt-Telemark,,Stiftelse,85.591,Folkehøgskoleundervisning,,,,
Frydensborg gård barnehage AS,915156053,,22,2100,Private aksjeselskaper mv.,,Kragerø,,Aksjeselskap,88.911,Barnehager,,,,
Keops arbeid Porsgrunn kf,984608322,939991034,22,6500,Kommuneforvaltningen,,Porsgrunn,Porsgrunn,Kommunalt foretak,88.993,Arbeidstrening for ordinært arbeidsmarked,25.620,Bearbeiding av metaller,,
Eidanger idrettslag,990035520,,22,7000,Ideelle organisasjoner,,Porsgrunn,Porsgrunn,Forening/lag/innretning,93.120,Idrettslag og -klubber,,,,
Roar meen gård,971184507,,21,8200,Personlig næringsdrivende,,Skien,,Enkeltpersonforetak,01.110,"Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster",,,,
Isola skifer rogne AS,929551192,,21,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,08.113,Bryting av skifer,,,,
Granite pukk AS,919359382,,21,2100,Private aksjeselskaper mv.,,Porsgrunn,,Aksjeselskap,08.120,"Utvinning fra grus- og sandtak, og utvinning av leire og kaolin",,,,
